metric,config_n,config_k,config,V0_median,V0_iqr,V0_n,V1_median,V1_iqr,V1_n,V2_median,V2_iqr,V2_n,V3_median,V3_iqr,V3_n
Avg conflict size,20,5,"n=20, k=5",6.6592,3.5253,30,5.6025,2.4612,30,2.3246,0.7316,30,2.0488,0.5682,30
Avg conflict size,20,7,"n=20, k=7",11.3351,7.7541,30,7.3905,3.3432,30,2.3072,1.3495,30,2.1584,0.8862,30
Avg conflict size,20,10,"n=20, k=10",15.6957,17.9986,27,9.7392,4.0318,30,2.2528,1.5766,30,2.1845,0.7887,30
Avg conflict size,50,3,"n=50, k=3",5.541,3.2739,25,6.9828,6.8657,25,5.2682,28.5582,25,6.118,29.6092,25
Avg conflict size,50,5,"n=50, k=5",18.4202,7.4414,18,14.3964,3.7647,20,3.7047,7.7973,20,3.6959,13.1144,22
Avg conflict size,50,7,"n=50, k=7",27.7176,4.1057,7,21.6267,7.0761,24,3.6333,17.4471,24,4.4792,12.1308,23
Avg conflict size,50,10,"n=50, k=10",42.7878,12.6615,5,32.3929,5.6171,22,6.3519,13.1527,23,14.4875,20.3421,23
Avg conflict size,50,15,"n=50, k=15",69.0121,40.0516,5,46.5311,12.4709,23,9.2563,24.7108,23,4.875,27.8996,23
Avg conflict size,100,5,"n=100, k=5",19.4232,4.5787,11,22.4486,7.2795,18,14.6092,22.3143,18,17.7803,28.9046,19
Avg conflict size,100,7,"n=100, k=7",,,0,31.7834,16.1068,18,11.52,19.7497,16,13.7743,22.7108,17
Avg conflict size,100,10,"n=100, k=10",,,0,47.4382,18.2648,19,14.7404,31.4023,18,18.4734,28.9048,18
Avg conflict size,100,15,"n=100, k=15",,,0,72.1859,50.9467,17,11.3934,11.8461,17,29.2978,26.4689,19
Avg conflict size,100,20,"n=100, k=20",,,0,107.1927,57.0213,16,19.903,27.8241,19,23.8577,30.8569,19
Avg conflict size,150,7,"n=150, k=7",,,0,37.8229,12.2426,11,23.5444,19.2968,19,23.493,24.1444,20
Avg conflict size,150,10,"n=150, k=10",,,0,67.3105,24.0267,6,29.2434,17.2115,18,18.1885,17.7418,20
Avg conflict size,150,15,"n=150, k=15",,,0,121.3496,57.7022,4,23.095,26.1531,20,31.8213,48.6009,20
